data,excerpt,start_time
dreams,1,21:50:00
dreams,2,22:44:00
dreams,3,22:09:00
dreams,4,21:43:00
dreams,5,21:51:00
dreams,6,21:57:00
dreams,7,23:30:22
dreams,8,22:06:00
dreams,9,22:28:00
dreams,10,23:01:00
dreams,11,23:05:00
dreams,12,23:22:00
dublin,2,00:11:04
dublin,3,23:07:50
dublin,5,23:28:42
dublin,6,23:57:14
dublin,7,23:30:22
dublin,8,23:29:11
dublin,9,22:35:22
dublin,10,22:51:18
dublin,11,22:47:38
dublin,12,23:23:21
dublin,13,23:44:00
dublin,14,23:38:02
dublin,15,23:02:45
dublin,17,23:16:05
dublin,18,23:49:02
dublin,19,23:30:33
dublin,20,23:48:21
dublin,21,22:52:05
dublin,22,23:35:05
dublin,23,22:55:51
dublin,24,22:58:02
dublin,25,00:25:37
dublin,26,22:58:13
dublin,27,22:56:30
dublin,28,00:29:08
mit,37,00:06:00
mit,61,00:06:00